FEATURE,VALUE
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","foot, rugby au lycee: velo jrsqu''a 2017 (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","foot, running (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",footballrunning (raid aventure) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",footing X3/semaine (10-15km/sortie) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",hand-footing-tennis de table-natation-2h/j pendant 15-20 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",handball a haut niveau en amateur (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",jogging-course- athletisme (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",kinesitherapeute (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",marathon (1/an): VTT: natation (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","marathon+++ depuis l''age de 50 ans, cyclisme (5000km/an) (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",marathon-tennis (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",marchait toute la journee (5-6 km/j) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",marche+++ (2)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","marche, jogging++++ (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",natation culturisme sport de combat (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","natation, Judo, Ski, Velo ++++ (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","natation, velo( 10.000/an) footing (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",natation: 1.5 kmx3/semiane depuis40 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",ouvrier sur une chaine de montage automobile (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",platrier plaquiste (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",policier (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",profession magasinier (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",professionnelle : aide soignante (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",randonnee ++ (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",randonnee 15km /semaine +activite prof intense +restaure une maison (1)
