"median","Q1","Q3","value","FEATURE"
5,4,5,"4.2 ± 1.3","Flexion plantaire des orteils (Gauche) [ ID733S2V11_muscu_8_g ] [ STATIC ]"
5,4,5,"4.1 ± 1.3","Flexion plantaire du pied (Droit) [ ID733S2V11_muscu_9_d ] [ STATIC ]"
5,4,5,"4.3 ± 1.1","Flexion plantaire du pied (Gauche) [ ID733S2V11_muscu_9_g ] [ STATIC ]"
16,11.1,21,"18.8 ± 13.5","Folates seriques (4FOLSE)"
39.5,37,43.3,"41.4 ± 6.8","G8 HBA1C_MMOL"
263.5,246.5,288.8,"261.2 ± 37.7","GENE SOD1 Ancienne analyse (SOD1INT)"
9.5,8.2,10.7,"9.5 ± 2.1","Gamma (ELE_GVA)"
24,19,39,"36.4 ± 42.7","Gamma-GT (GGT)"
7.4,7.4,7.5,"7.4 ± 0.0","Gaz du sang (gz_pH)"
5.3,4.9,5.8,"5.6 ± 1.5","Glucose (GLU)"
1,0.9,1.1,"1.0 ± 0.3","Glucose (GLU_G)"
3.9,3.6,4.2,"3.9 ± 0.4","Glucose (LCR) (GLU_C)"
25.4,24.3,26.8,"25.7 ± 2.3","HCO3 (mmol/L) : [ HCO3_PP ] [ STATIC ]"
25.3,24.3,26.5,"25.5 ± 2.1","HCO3- (gz_HCO3-)"
1.5,1.3,1.8,"1.6 ± 0.4","HDL Cholesterol HDL"
0.6,0.5,0.7,"0.6 ± 0.2","HDL Cholesterol HDL_G"
0.1,0.1,0.1,"0.1 ± 0.0","HIV 1ere technique (HIVaT)"
0.2,0.2,0.3,"0.2 ± 0.1","HIV 2e technique (HIVbT)"
3,3,4,"2.9 ± 1.0","Habillage Hygiène"
14.4,13.4,15.2,"14.3 ± 1.4","Hb totale (gz_tHb)"
8,0,8,"4.8 ± 3.9","Hematies (BACYH1)"
4.6,4.2,4.9,"4.5 ± 0.4","Hematies (NG_HEM)"
4.7,4.4,5,"4.7 ± 0.4","Hematies (NG_HEM_X)"
42.3,39.1,44.5,"41.8 ± 3.8","Hematocrite (NG_HT)"
43.3,40.1,44.7,"42.7 ± 3.3","Hematocrite (NG_HT_X)"
140,130.3,149.8,"140.1 ± 12.9","Hemoglobine (NG_HB)"
146,137,155,"144.7 ± 11.6","Hemoglobine (NG_HB_X)"
7,4,11,"9.8 ± 9.8","Hemolyse (serum) (4HEMS_HEMP)"
6,4,8,"7.8 ± 7.7","Hemolyse (serum) (HEMS_HEMP)"
8.4,5.7,9.5,"7.3 ± 3.9","Homocysteine (HCES)"
1.5,0.9,2.9,"1.9 ± 1.1","INR (INR)"
1,1,1,"1.1 ± 0.3","Ictere (serum) (ICTS_ICTP)"
2,1.8,2.3,"2.1 ± 0.8","IgA (2IGASPA)"
2.1,1.6,2.7,"2.2 ± 0.9","IgA (IGA)"
8.6,7.5,10.4,"8.8 ± 1.6","IgG (2IGGSPA)"
9.7,8.1,10.7,"9.6 ± 2.3","IgG (IGG)"
0,0,0,"0.0 ± 0.0","IgG (LCR) (IGG_C)"
17901,6342,24343,"16856.2 ± 13227.8","IgG HSV (HSVT)"
0,0,0,"0.0 ± 0.0","IgG anti-Borrelia burgdorferi sensu lato (BORCT)"
0.9,0.7,1.5,"1.1 ± 0.6","IgM (2IGMSPA)"
0.8,0.6,1.2,"1.0 ± 1.1","IgM (IGM)"
0,0,0,"0.0 ± 0.0","IgM anti-Borrelia burgdorferi sensu lato (BORMT)"
0.5,0.4,0.5,"0.5 ± 0.1","Index IgG (IND_IGG)"
4,4,4,"3.9 ± 0.4","Insuffisance respiratoire"
258,196,361,"288.0 ± 113.6","LDH"
3.5,2.7,4.1,"3.5 ± 1.0","LDL Cholesterol LDL"
1.4,1.1,1.7,"1.4 ± 0.4","LDL Cholesterol LDL_G"
1.7,1.3,2.1,"2.0 ± 3.2","LY (FS_LY_VA)"
1.7,1.4,2.3,"1.9 ± 0.9","LY (FS_LY_VA_X)"
1.5,1.5,1.5,,"Lactate (LAC)"
1.8,1.6,2,"1.8 ± 0.2","Lactate (LCR) (LAC_C)"
10,8,13,"14.4 ± 35.8","Lactescence (serum) (LACS_LACP)"
12,0,12,"6.9 ± 5.9","Leuco (BACYLEUCCAT)"
1.5,1,3,"9.5 ± 54.3","Leuco BACYLEUCM"
6.6,5.3,7.7,"6.9 ± 3.7","Leucocytes (NG_LEUC)"
5.9,5.2,7,"6.1 ± 1.6","Leucocytes (NG_LEUC_X)"
22.5,16.3,34,"26.2 ± 14.7","Lipase (LIP)"
4,3,4,"3.2 ± 0.9","Lit Tourner Ajuster draps"
30.4,23.9,36.4,"31.4 ± 9.0","Lymphocytes (FS_LY_X)"
0.5,0.4,0.6,"0.5 ± 0.2","MO (FS_MONO_VA)"
0.9,0.8,0.9,"0.8 ± 0.1","Magnesium (MG)"
3,2,4,"3.0 ± 0.8","Marche"
0.9,0.5,1.2,"0.9 ± 0.5","MetHb (gz_MetHb)"
6,3,7,"22.2 ± 39.6","Microalbumine (urines) (MALB_U)"
0.5,0.4,0.6,"0.5 ± 0.1","Mono (FS_MONO_VA_X)"
9,7.8,9.7,"9.0 ± 2.2","Monocytes (FS_MONO_X)"
3,1,4,"2.4 ± 1.5","Monte les escalier"
148.1,148.1,148.1,,"NT_proBNP (NT_BNP)"
3.4,2.8,4.2,"3.6 ± 1.5","Non HDL Cholesterol NON HDL"
95.3,94.2,96.2,"95.0 ± 1.7","O2Hb (gz_O2Hb)"
4,4,4,"3.9 ± 0.4","Orthopnée"
2.4,2,2.8,"2.3 ± 0.7","P TAU - INACTIF - (4IATI)"
33.2,24.5,38.2,"31.8 ± 10.9","P TAU - INACTIF - (4Ratio)"
0,0,0.1,"0.0 ± 0.0","PB (FS_PB_VA)"
0,0,0.1,"0.0 ± 0.0","PB (FS_PB_VA_X)"
0,0,0,"0.0 ± 0.0","PCR COVID 19 TFS (TFS-N)"
0,0,0,"0.0 ± 0.0","PCR COVID 19 TFS (TFS-ORF1ab)"
0,0,0,"0.0 ± 0.0","PCR COVID 19 TFS (TFS-S)"
0.1,0.1,0.2,"0.2 ± 0.2","PE (FS_PE_VA)"
0.2,0.1,0.2,"0.1 ± 0.1","PE (FS_PE_VA_X)"
69.1,39.9,87.7,"66.7 ± 32.0","PEmax % théorique : [ PEMAX_THEO_PP ] [ STATIC ]"
60,42.5,81,"64.6 ± 33.0","PEmax (à la CPT) : cm H2O [ PEMAX_PP ] [ STATIC ]"
