"FEATURE","median","Q1","Q3","value"
"Ictere (serum) (ICTS_ICTP)",1,1,1,"1.1 ± 0.3"
"IgA (2IGASPA)",2,1.8,2.3,"2.1 ± 0.8"
"IgA (IGA)",2.1,1.6,2.7,"2.2 ± 0.9"
"IgG (2IGGSPA)",8.6,7.5,10.4,"8.8 ± 1.6"
"IgG (IGG)",9.7,8.1,10.7,"9.6 ± 2.3"
"IgG (LCR) (IGG_C)",0,0,0,"0.0 ± 0.0"
"IgG HSV (HSVT)",17901,6342,24343,"16856.2 ± 13227.8"
"IgG anti-Borrelia burgdorferi sensu lato (BORCT)",0,0,0,"0.0 ± 0.0"
"IgM (2IGMSPA)",0.9,0.7,1.5,"1.1 ± 0.6"
"IgM (IGM)",0.8,0.6,1.2,"1.0 ± 1.1"
"IgM anti-Borrelia burgdorferi sensu lato (BORMT)",0,0,0,"0.0 ± 0.0"
"Index IgG (IND_IGG)",0.5,0.4,0.5,"0.5 ± 0.1"
"Insuffisance respiratoire",4,4,4,"3.9 ± 0.4"
"LDH",258,196,361,"288.0 ± 113.6"
"LDL Cholesterol LDL",3.5,2.7,4.1,"3.5 ± 1.0"
"LDL Cholesterol LDL_G",1.4,1.1,1.7,"1.4 ± 0.4"
"LY (FS_LY_VA)",1.7,1.3,2.1,"2.0 ± 3.2"
"LY (FS_LY_VA_X)",1.7,1.4,2.3,"1.9 ± 0.9"
"Lactate (LAC)",1.5,1.5,1.5,
"Lactate (LCR) (LAC_C)",1.8,1.6,2,"1.8 ± 0.2"
"Lactescence (serum) (LACS_LACP)",10,8,13,"14.4 ± 35.8"
"Leuco (BACYLEUCCAT)",12,0,12,"6.9 ± 5.9"
"Leuco BACYLEUCM",1.5,1,3,"9.5 ± 54.3"
"Leucocytes (NG_LEUC)",6.6,5.3,7.7,"6.9 ± 3.7"
"Leucocytes (NG_LEUC_X)",5.9,5.2,7,"6.1 ± 1.6"
"Lipase (LIP)",22.5,16.3,34,"26.2 ± 14.7"
"Lit Tourner Ajuster draps",4,3,4,"3.2 ± 0.9"
"Lymphocytes (FS_LY_X)",30.4,23.9,36.4,"31.4 ± 9.0"
"MO (FS_MONO_VA)",0.5,0.4,0.6,"0.5 ± 0.2"
"Magnesium (MG)",0.9,0.8,0.9,"0.8 ± 0.1"
"Marche",3,2,4,"3.0 ± 0.8"
"MetHb (gz_MetHb)",0.9,0.5,1.2,"0.9 ± 0.5"
"Microalbumine (urines) (MALB_U)",6,3,7,"22.2 ± 39.6"
"Mono (FS_MONO_VA_X)",0.5,0.4,0.6,"0.5 ± 0.1"
"Monocytes (FS_MONO_X)",9,7.8,9.7,"9.0 ± 2.2"
"Monte les escalier",3,1,4,"2.4 ± 1.5"
"NT_proBNP (NT_BNP)",148.1,148.1,148.1,
"Non HDL Cholesterol NON HDL",3.4,2.8,4.2,"3.6 ± 1.5"
"O2Hb (gz_O2Hb)",95.3,94.2,96.2,"95.0 ± 1.7"
"Orthopnée",4,4,4,"3.9 ± 0.4"
"P TAU - INACTIF - (4IATI)",2.4,2,2.8,"2.3 ± 0.7"
"P TAU - INACTIF - (4Ratio)",33.2,24.5,38.2,"31.8 ± 10.9"
"PB (FS_PB_VA)",0,0,0.1,"0.0 ± 0.0"
"PB (FS_PB_VA_X)",0,0,0.1,"0.0 ± 0.0"
"PCR COVID 19 TFS (TFS-N)",0,0,0,"0.0 ± 0.0"
"PCR COVID 19 TFS (TFS-ORF1ab)",0,0,0,"0.0 ± 0.0"
"PCR COVID 19 TFS (TFS-S)",0,0,0,"0.0 ± 0.0"
"PE (FS_PE_VA)",0.1,0.1,0.2,"0.2 ± 0.2"
"PE (FS_PE_VA_X)",0.2,0.1,0.2,"0.1 ± 0.1"
"PEmax % théorique : [ PEMAX_THEO_PP ] [ STATIC ]",69.1,39.9,87.7,"66.7 ± 32.0"
"PEmax (à la CPT) : cm H2O [ PEMAX_PP ] [ STATIC ]",60,42.5,81,"64.6 ± 33.0"
"PImax % théorique : [ PIMAX_THEO_PP ] [ STATIC ]",61.8,37.1,83,"63.9 ± 30.8"
"PImax (à la CRF) : cm H2O [ PIMAX_PP ] [ STATIC ]",44,31.5,65.5,"50.3 ± 23.3"
"PN (FS_PN_VA)",4,3.1,5.1,"4.1 ± 1.5"
"PN (FS_PN_VA_X)",3.2,3,4.1,"3.5 ± 1.1"
"POIDS_DIFFERENCE",-1.5,-6.9,0,"-4.2 ± 6.7"
"PROGRESSION_RATE",0.7,0.4,1.1,"1.0 ± 1.2"
"PSA Total (4TPSA)",1,0.5,1.8,"1.2 ± 1.0"
"PaCO2 (mmHg) :  [ PACO2_PP ] [ STATIC ]",38.5,36,41,"38.7 ± 4.3"
"PaO2 (mmHg) :  [ PAO2_PP ] [ STATIC ]",85.6,78.9,94,"86.9 ± 12.2"
"Parole",4,3,4,"3.4 ± 0.8"
"Patient (TPOPTP)",100,97.5,100,"98.2 ± 5.1"
"Ph Tau (4PTAU)",41.5,35.3,51.8,"45.5 ± 16.0"
"Phosphatases alc. (PAL)",64,51,76,"67.2 ± 27.9"
"Phosphates (PHO)",1.2,1.1,1.3,"1.2 ± 0.2"
"Plaquettes (NG_PLAQ)",242,199,275,"243.9 ± 65.9"
"Plaquettes (NG_PLAQ_IMP)",229.5,214.5,241,"234.0 ± 45.0"
"Plomb sanguin (3PLO_S)",30,19.5,45,"35.0 ± 20.7"
"Polynucleaires basophiles (FS_PB_X)",0.6,0.5,0.8,"0.6 ± 0.2"
"Polynucleaires eosinophiles (FS_PE_X)",2.3,1.5,3.3,"2.6 ± 1.9"
"Polynucleaires neutrophiles (FS_PN_X)",56.4,50.7,65.8,"56.3 ± 10.2"
"Potassium (K)",4.2,4.1,4.4,"4.2 ± 0.3"
"Potassium (urines) (K_U)",42.1,31.2,53.1,"42.1 ± 31.0"
"Prealbumine (PRE)",0.3,0.3,0.3,"0.3 ± 0.1"
"Prise en charge BRET/TROU (BAPECBJOUR)",8,4.5,11.5,"8.0 ± 9.9"
"Prise en charge BRET/TROU (BAPECINT0516)",38,21,57,"36.3 ± 20.5"
"Procalcitonine (PCTK)",0.1,0.1,0.1,
"Prot/Creat (ALB_U_C)",0.1,0.1,0.1,
"Proteine B amyloide 1-40 (4AB40-L)",13331,9375.5,16167,"13657.2 ± 5646.0"
"Proteine B amyloide 1-40 (4R_AB)",0.1,0.1,0.1,"0.1 ± 0.0"
"Proteine B amyloide 1-42 (4AB42-L)",1317,1005.8,1510,"1338.6 ± 507.1"
"Proteine P-TAU (4PTAU-L)",33.2,25.7,43.1,"35.9 ± 14.6"
"Proteine TAU (4R_TAU)",8.9,7.7,9.8,"9.0 ± 2.2"
"Proteine TAU (4TAU-L)",273.5,237.8,397,"320.4 ± 138.4"
"Proteines (LCR) (PRO_C)",0.4,0.4,0.5,"0.5 ± 0.2"
"Proteines (PRO)",70,66,73,"69.8 ± 4.9"
"Proteines (electrophorese) (PRO_ELE)",68,66,72,"68.8 ± 4.7"
"Proteines (urines) (PRO_U)",0.1,0,0.1,"0.1 ± 0.1"
