"FEATURE"
"Quotient albumine (QUO_ALB)"
"Rapport IgG(LCR)/ALB(LCR) (RAP_G_ALB)"
"Sequencage < 800 (bm_seq)"
"Sodium"
"TCK (TCKR)"
"TCK Patient (P) (TCKP)"
"TCK Temoin (T) (TCKT)"
"Triglycerides (TRI)"
"Triglycerides (TRI_G)"
"Uree (URE)"
"VGM (NG_VGM)"
"Vitamine E (Tocopherol) (VITE)"
"ctO2 (gz_ctO2)"
"lactate (gds) (gz_lac)"
"mm3 (BACYH2)"
"p50 (gz_p50)"
"pCO2 (gz_pCO2)"
"pO2 (gz_pO2)"
"tCO2 (gz_tCO2)"
"ACE (4ACE)"
"Alpha foeto proteine (4AFP)"
"CA 15-3 (4C153)"
"CA 19-9 (4C199)"
"CA 125 (4C125)"
"Folates seriques (4FOLSE)"
"Hemolyse (serum) (HEMS_HEMP)"
"Ictere (serum) (ICTS_ICTP)"
"Lactate (LCR) (LAC_C)"
"Lactescence (serum) (LACS_LACP)"
"Leuco (BACYLEUCCAT)"
"Proteines (electrophorese) (PRO_ELE)"
"TSH (4TSH)"
"Titre (HBSC2T)"
"Vitamine B12 (4B12)"
"Ab42 (4BAMYL)"
"Hematies (BACYH1)"
"Hemolyse (serum) (4HEMS_HEMP)"
"P TAU - INACTIF - (4IATI)"
"P TAU - INACTIF - (4Ratio)"
"Ph Tau (4PTAU)"
"Tau (4TAU)"
"Ca ionise (gz_ca)"
"Proteine B amyloide 1-42 (4AB42-L)"
"Proteine P-TAU (4PTAU-L)"
"Proteine TAU (4R_TAU)"
"Proteine TAU (4TAU-L)"
"bilirubine totale (gz_bil)"
"chlorures (gds) (gz_cl)"
"glucose (gds) (gz_glu)"
"potassium (gds) (gz_k)"
"sodium (gds) (gz_na)"
"INR (INR)"
"Proteines (urines) (PRO_U)"
"(HBA1C)"
"Angiotensine Convertase (ECA)"
"Capacite tot. fixation Trf (CAPA)"
"Coeff Saturation Trf (Coef_sat)"
"HIV 1ere technique (HIVaT)"
"HIV 2e technique (HIVbT)"
"Homocysteine (HCES)"
"T.P.H.A (TPHA)"
"Transferrine (TRF)"
"V.D.R.L (VDRL)"
"Prise en charge BRET/TROU (BAPECINT0516)"
"Troponine I (TRO)"
"BORRELIOSE IGG (BORIGGBR)"
"Borreliose IgM (BORIGMBR)"
"Chlorures (urines) (CL_U)"
"IgG HSV (HSVT)"
"Potassium (urines) (K_U)"
"Sodium (urines) (NA_U)"
"PSA Total (4TPSA)"
"CCMH (NG_CCMH_X)"
"Hematies (NG_HEM_X)"
"Hematocrite (NG_HT_X)"
"Hemoglobine (NG_HB_X)"
"LY (FS_LY_VA_X)"
"Leucocytes (NG_LEUC_X)"
"Lymphocytes (FS_LY_X)"
"Mono (FS_MONO_VA_X)"
"Monocytes (FS_MONO_X)"
"PB (FS_PB_VA_X)"
"PE (FS_PE_VA_X)"
"PN (FS_PN_VA_X)"
"Plaquettes (NG_PLAQ_IMP)"
"Polynucleaires basophiles (FS_PB_X)"
"Polynucleaires eosinophiles (FS_PE_X)"
"Polynucleaires neutrophiles (FS_PN_X)"
"Recept.Soluble Transferrine (RTRF)"
"TCMH (NG_TCMH_X)"
"VGM (NG_VGM_X)"
"Microalbumine (urines) (MALB_U)"
"25 D 3G (425D3G)"
"Ca ionise (pH 7.40) (gz_ca_cor)"
"IgG anti-Borrelia burgdorferi sensu lato (BORCT)"
"PCR COVID 19 TFS (TFS-N)"
"PCR COVID 19 TFS (TFS-ORF1ab)"
"PCR COVID 19 TFS (TFS-S)"
"Patient (TPOPTP)"
"Temps Patient (TPOPTTP)"
"Temps Temoin (TPOPTTT)"
"C3 (2C3SPA)"
"C4 (2C4SPA)"
"Vitamine A1 (Retinol) (VITA)"
"ALAT (ALAT)"
"ASAT (ASAT)"
"CRP (CRP)"
"Sodium (nan)"
"Proteine B amyloide 1-40 (4AB40-L)"
"Proteine B amyloide 1-40 (4R_AB)"
"GENE SOD1 Ancienne analyse (SOD1INT)"
"FS (FS_LY)"
"FS (FS_LY_VA)"
"FS (FS_MONO)"
"FS (FS_MONO_VA)"
"FS (FS_PB)"
"FS (FS_PB_VA)"
"FS (FS_PE)"
"FS (FS_PE_VA)"
"FS (FS_PN)"
"FS (FS_PN_VA)"
"IgM anti-Borrelia burgdorferi sensu lato (BORMT)"
"Syphilis abbott (SYPTTT)"
"TCA (TCAR)"
"TCA Patient (P) (TCAP)"
"TCA Temoin (T) (TCAT)"
"G8 HBA1C_MMOL"
"Creatinine (urines) (CRE_U)"
"Facteurs rhumatoides (2FRSPA)"
"NT_proBNP (NT_BNP)"
"Prise en charge BRET/TROU (BAPECBJOUR)"
"soit (RETI_VA)"
"IgA (2IGASPA)"
"IgG (2IGGSPA)"
"IgM (2IGMSPA)"
"BNP"
"Lactate (LAC)"
"FT4 (4FT4)"
"gene c9orf72 (C9ORF72TEX_TXT)"
"Procalcitonine (PCTK)"
"Prot/Creat (ALB_U_C)"
"Uree (urines) (URE_U)"
"Non HDL Cholesterol NON HDL"
"Age : [ AGE_PP ] [ STATIC ]"
"Age du début [ AGE_DEBUT ] [ STATIC ]"
"CPT_ASSIS_ESR_PP [ STATIC ]"
"CVL_ASSIS_ESR_PP [ STATIC ]"
"EVOLUTION_DURATION"
"POIDS_DIFFERENCE"
"PaCO2 (mmHg) :  [ PACO2_PP ] [ STATIC ]"
"PaO2 (mmHg) :  [ PAO2_PP ] [ STATIC ]"
"SaO2 :  [ SAO2_PP ] [ STATIC ]"
"pH : [ PH_PP ] [ STATIC ]"
"Age : [ AGEMERED ] [ STATIC ]"
"Age : [ AGEPERED ] [ STATIC ]"
"CVL_ASSIS_OBSV_PP [ STATIC ]"
"CVL_ASSIS_THEO_PP [ STATIC ]"
"DEBIT_POINTE_PP [ STATIC ]"
"HCO3 (mmol/L) : [ HCO3_PP ] [ STATIC ]"
"temps_diagnostic [ STATIC ]"
"Age (si non décédée) : [ AGEMEREV ] [ STATIC ]"
"PEmax % théorique : [ PEMAX_THEO_PP ] [ STATIC ]"
"PEmax (à la CPT) : cm H2O [ PEMAX_PP ] [ STATIC ]"
"PImax % théorique : [ PIMAX_THEO_PP ] [ STATIC ]"
"PImax (à la CRF) : cm H2O [ PIMAX_PP ] [ STATIC ]"
"Abduction de la cuisse (Droit) [ ID733S2V11_muscu_14_d ] [ STATIC ]"
"Abduction de la cuisse (Gauche) [ ID733S2V11_muscu_14_g ] [ STATIC ]"
"Abduction ou adduction du bras (Droit) [ ID733S2V11_muscu_7_d ] [ STATIC ]"
"Abduction ou adduction du bras (Gauche) [ ID733S2V11_muscu_7_g ] [ STATIC ]"
"Adduction du pouce (Droit) [ ID733S2V11_muscu_1_d ] [ STATIC ]"
"Adduction du pouce (Gauche) [ ID733S2V11_muscu_1_g ] [ STATIC ]"
"Extension de l avant bras (Droit) [ ID733S2V11_muscu_6_d ] [ STATIC ]"
"Extension de l avant bras (Gauche) [ ID733S2V11_muscu_6_g ] [ STATIC ]"
"Extension de la jambe sur la cuisse (Droit) [ ID733S2V11_muscu_12_d ] [ STATIC ]"
"Extension de la jambe sur la cuisse (Gauche) [ ID733S2V11_muscu_12_g ] [ STATIC ]"
"Extension de la main (Droit) [ ID733S2V11_muscu_4_d ] [ STATIC ]"
"Extension de la main (Gauche) [ ID733S2V11_muscu_4_g ] [ STATIC ]"
"Extension du cou [ ID733S2V11_muscu_16 ] [ STATIC ]"
"Flexion de cuisse sur le bassin (Droit) [ ID733S2V11_muscu_13_d ] [ STATIC ]"
"Flexion de cuisse sur le bassin (Gauche) [ ID733S2V11_muscu_13_g ] [ STATIC ]"
"Flexion de l avant bras (Droit) [ ID733S2V11_muscu_5_d ] [ STATIC ]"
"Flexion de l avant bras (Gauche) [ ID733S2V11_muscu_5_g ] [ STATIC ]"
"Flexion de la jambe sur la cuisse (Droit) [ ID733S2V11_muscu_11_d ] [ STATIC ]"
"Flexion de la jambe sur la cuisse (Gauche) [ ID733S2V11_muscu_11_g ] [ STATIC ]"
"Flexion de la main (Droit) [ ID733S2V11_muscu_3_d ] [ STATIC ]"
"Flexion de la main (Gauche) [ ID733S2V11_muscu_3_g ] [ STATIC ]"
"Flexion des doigts (Droit) [ ID733S2V11_muscu_2_d ] [ STATIC ]"
"Flexion des doigts (Gauche) [ ID733S2V11_muscu_2_g ] [ STATIC ]"
"Flexion dorsale du pied (Droit) [ ID733S2V11_muscu_10_d ] [ STATIC ]"
"Flexion dorsale du pied (Gauche) [ ID733S2V11_muscu_10_g ] [ STATIC ]"
"Flexion du cou [ ID733S2V11_muscu_15 ] [ STATIC ]"
"Flexion plantaire des orteils (Droit) [ ID733S2V11_muscu_8_d ] [ STATIC ]"
"Flexion plantaire des orteils (Gauche) [ ID733S2V11_muscu_8_g ] [ STATIC ]"
"Flexion plantaire du pied (Droit) [ ID733S2V11_muscu_9_d ] [ STATIC ]"
"Flexion plantaire du pied (Gauche) [ ID733S2V11_muscu_9_g ] [ STATIC ]"
"Testing musculaire :  [ TEST_MUSCUL ] [ STATIC ]"
"Age (si non décédé) : [ AGEPEREV ] [ STATIC ]"
"Activité ou emploi physique intense (Actuellement ou antérieurement) : [ ACTINT ] [ STATIC ]"
"Etude de biologie moléculaire : [ ETUDE_BIOMOL ] [ STATIC ]"
"Fauteuil roulant : [ TTT_FAUTEUIL ] [ STATIC ]"
"IS_UNCENSORED"
"Lieu de début : [ LIEUDEB ] [ STATIC ]"
"Lit médicalisé : [ TTT_LIT ] [ STATIC ]"
"Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ]"
"Riluzole : [ RILUZ ] [ STATIC ]"
"Sexe : [ SEX ] [ STATIC ]"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]"
"Traitement non médicamenteux : [ TTT_NOMEDQ ] [ STATIC ]"
"Traitements étiologiques : [ TTTETIOL ] [ STATIC ]"
"cause_deces [ STATIC ]"
"cause_lie_sla [ STATIC ]"
"Antécédents familiaux neurologiques notables : [ AT_FAMIL ] [ STATIC ]"
"Cause du décès : [ CAUSDCDMERE ] [ STATIC ]"
"Cause du décès : [ CAUSDCDPERE ] [ STATIC ]"
"GAZOMETRIE_PP [ STATIC ]"
"Gastrostomie : [ TTT_GASTRO ] [ STATIC ]"
"Kinésithérapie : [ TTT_KINE ] [ STATIC ]"
"Orthophonie : [ TTT_ORTHO ] [ STATIC ]"
"Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ]"
"Traitements symptomatiques : [ TTTSYMPT ] [ STATIC ]"
"VNI : [ TTT_VNI ] [ STATIC ]"
"Vitamine E : [ VIT_E ] [ STATIC ]"
"Autre : [ AUTRE1 ] [ STATIC ]"
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]"
"Soins infirmiers : [ TTT_SOINS ] [ STATIC ]"
"Sonde naso-gastrique : [ TTT_SONDE ] [ STATIC ]"
"Type de gastrostomie : [ TYPE_GASTRO ] [ STATIC ]"
"Confirmation par certificat de décès : [ CONFCERTDCD ] [ STATIC ]"
"Achilléen Droit : [ ACHILEEN_D ] [ STATIC ]"
"Achilléen Gauche : [ ACHILEEN_G ] [ STATIC ]"
"Bicipital Droit : [ BICIPITAL_D ] [ STATIC ]"
"Bicipital Gauche : [ BICIPITAL_G ] [ STATIC ]"
"Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ]"
"Membre inférieur D : [ MEMBRE_INF_D ] [ STATIC ]"
"Membre inférieur G : [ MEMBRE_INF_G ] [ STATIC ]"
"Membre supérieur D : [ MEMBRE_SUP_D ] [ STATIC ]"
"Membre supérieur G : [ MEMBRE_SUP_G ] [ STATIC ]"
"Rotulien Droit : [ ROTULIEN_D ] [ STATIC ]"
"Rotulien Gauche : [ ROTULIEN_G ] [ STATIC ]"
"Réflexe cutané plantaire Droit : [ R_CUT_PLANTAIRE_D ] [ STATIC ]"
"Réflexe cutané plantaire Gauche : [ R_CUT_PLANTAIRE_G ] [ STATIC ]"
"Stylo Radial Droit : [ STYLO_RADIAL_D ] [ STATIC ]"
"Stylo Radial Gauche : [ STYLO_RADIAL_G ] [ STATIC ]"
"Tricipital Droit : [ TRICIPITAL_D ] [ STATIC ]"
"Tricipital Gauche : [ TRICIPITAL_G ] [ STATIC ]"
"Atrophie :  [ ATROPHIE ] [ STATIC ]"
"Langue : [ LANGUE ] [ STATIC ]"
"Membre inférieur : [ MEMBRE_INF ] [ STATIC ]"
"Membre supérieur : [ MEMBRE_SUP ] [ STATIC ]"
"Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ]"
"Tronc : [ TRONC ] [ STATIC ]"
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_MERE_NEURO ] [ STATIC ]"
"Essai Clinique non médicamenteux n° 1 : [ EC1 ] [ STATIC ]"
"Alimentation par chambre implantable : [ TTT_ALIM ] [ STATIC ]"
"Appareils de communication : [ TTT_APPCOM ] [ STATIC ]"
"Autre : [ TTT_AUTRE ] [ STATIC ]"
"Compléments alimentaires : [ TTT_COMPLAL ] [ STATIC ]"
"Ergothérapie : [ TTT_ERGO ] [ STATIC ]"
"Oxygénothérapie : [ TTT_OXY ] [ STATIC ]"
"Trachéotomie : [ TTT_TRACH ] [ STATIC ]"
"Réflexe masséterin : [ R_MASSETERIN ] [ STATIC ]"
"Asthme : [ ASTHME_PP ] [ STATIC ]"
"Réflexe naso palpébral : [ R_NASO_PALP ] [ STATIC ]"
"PEMAX_PP [ STATIC ]"
"Détail de la cause du décès : [ DET_DCD ] [ STATIC ]"
