"DIM_0","DIM_1"
0.6029058694839478,0.29632383584976196
0.9982190728187561,0.02557411789894104
0.22650834918022156,0.6804410219192505
0.0017474889755249023,0.9807430505752563
0.6212767958641052,0.3310048580169678
0.21793624758720398,0.8006231784820557
0.44281768798828125,0.6089682579040527
0.43740949034690857,0.619311511516571
0.05527953803539276,0.9202070236206055
0.9673773050308228,0.23018613457679749
0.1285386085510254,0.8469942808151245
0.9192960858345032,0.1612805426120758
0.18686872720718384,0.750420093536377
0.17840605974197388,0.726436197757721
0.9847437739372253,0.25012344121932983
0.38110968470573425,0.6882238388061523
0.054657623171806335,0.9707033634185791
0.04259008169174194,0.9846847057342529
0.6011431217193604,0.34946203231811523
0.7232232093811035,0.29808712005615234
0.8540516495704651,0.16248762607574463
0.03210024535655975,0.995497465133667
0.2698732316493988,0.7616704702377319
0.6002522110939026,0.3403394818305969
0.356815367937088,0.7153320908546448
0.34364619851112366,0.7616090774536133
0.20108778774738312,0.6845918297767639
0.5844470858573914,0.4636436700820923
0.5073242783546448,0.5250493884086609
0.5001247525215149,0.5550090074539185
0.13626514375209808,0.882146954536438
0.16433408856391907,0.8937095403671265
0.8518521785736084,0.12988227605819702
0.3832569122314453,0.6112082004547119
0.018423184752464294,0.9921692609786987
0.8508435487747192,0.25456923246383667
0.5479229688644409,0.4121924638748169
0.22479139268398285,0.8710638284683228
0.28025704622268677,0.7640961408615112
0.8897228240966797,0.2442241907119751
0.5452705025672913,0.5153048038482666
0.16554319858551025,0.8968793153762817
0.7735747694969177,0.3053572177886963
0.6459922194480896,0.4220700263977051
0.2490096390247345,0.7645299434661865
0.6243760585784912,0.4246755838394165
0.10301223397254944,0.9611085653305054
0.9428731799125671,0.14348992705345154
0.6669941544532776,0.3958278298377991
0.6949145197868347,0.33675867319107056
0.5672114491462708,0.4907926917076111
0.09186172485351562,0.9618431329727173
0.7199195623397827,0.4121313691139221
0.7195619344711304,0.2931138873100281
0.9879990816116333,0.01585465669631958
0.8292999267578125,0.29202520847320557
0.09668634831905365,0.9770276546478271
0.17365410923957825,0.916196346282959
0.5064092874526978,0.5450394749641418
0.3423161506652832,0.7283528447151184
0.6527773141860962,0.3427419066429138
0.42759454250335693,0.5527297854423523
0.6440008282661438,0.40224558115005493
0.5596803426742554,0.48011255264282227
0.23317258059978485,0.8864428997039795
0.2720916271209717,0.7583572864532471
0.8143410682678223,0.2928924560546875
0.2761351764202118,0.7596747875213623
0.9649407267570496,0.2358171045780182
0.1930871456861496,0.6990258693695068
0.20744572579860687,0.7424205541610718
0.8131421208381653,0.2166605293750763
0.8375574946403503,0.18685820698738098
0.5391398668289185,0.5190568566322327
0.20423069596290588,0.7928324937820435
0.028355449438095093,0.9531170129776001
0.7090069651603699,0.3079826235771179
0.003610953688621521,0.9792596101760864
0.9671188592910767,0.056900352239608765
0.9211968183517456,0.10364452004432678
0.9395204186439514,0.055030494928359985
0.4990241527557373,0.5563023090362549
0.8828966021537781,0.0844479501247406
0.04449312388896942,0.9782189130783081
0.05939966440200806,0.9613519906997681
0.5893550515174866,0.3253498077392578
0.20365166664123535,0.7037527561187744
0.902827262878418,0.18678542971611023
0.29479384422302246,0.7397107481956482
0.8584258556365967,0.15154984593391418
0.7274284958839417,0.40423333644866943
0.19529670476913452,0.7178605198860168
0.8472052812576294,0.21228113770484924
0.8919557332992554,0.12546104192733765
0.5520009994506836,0.3974176049232483
0.8550201654434204,0.15399682521820068
0.8881734013557434,0.20390546321868896
0.19607597589492798,0.8717342615127563
0.9249788522720337,0.16850826144218445
0.7259155511856079,0.268368661403656
0,0.9691874980926514
0.04076552391052246,0.9215308427810669
0.0989205539226532,0.943291425704956
0.21585999429225922,0.7560983896255493
0.22515279054641724,0.8640486001968384
0.23146472871303558,0.8840779066085815
0.19066163897514343,0.9125889539718628
0.019796818494796753,1
0.558432936668396,0.4654305577278137
0.7603077292442322,0.321231484413147
0.5214371681213379,0.4454912543296814
0.9872031807899475,0.25299912691116333
0.7395316958427429,0.29343122243881226
0.5967571139335632,0.3395136594772339
0.5534372329711914,0.39841383695602417
0.15773999691009521,0.9238795042037964
0.3367708921432495,0.5789044499397278
0.5568926334381104,0.3902153968811035
0.41807493567466736,0.5763412117958069
0.9444065093994141,0.10705381631851196
0.5489047765731812,0.5095766186714172
0.4969155788421631,0.5497786402702332
0.1385759711265564,0.8291980028152466
0.25017204880714417,0.6243892908096313
0.22825175523757935,0.8855353593826294
0.992903470993042,0.20699909329414368
0.8233460783958435,0.3041195869445801
0.7180718779563904,0.28504371643066406
0.9800628423690796,0.15189173817634583
0.9544053673744202,0.21324297785758972
0.9959290623664856,0.01870325207710266
0.8842744827270508,0.2119390368461609
0.1300240159034729,0.8409730195999146
0.36995720863342285,0.6954944133758545
0.9556217789649963,0.2014879584312439
0.23930463194847107,0.8596701622009277
0.19090405106544495,0.7125033736228943
0.031218692660331726,0.9419723749160767
0.045469269156455994,0.9130580425262451
0.8575810790061951,0.1604490578174591
0.058437004685401917,0.9895021915435791
0.08151684701442719,0.9571845531463623
0.6325202584266663,0.36621421575546265
0.29340532422065735,0.6006501913070679
0.13584169745445251,0.8866738080978394
0.7130382061004639,0.4190537929534912
0.033594876527786255,0.9958720207214355
0.9186238050460815,0.17700114846229553
0.3420262634754181,0.7690542936325073
0.9208932518959045,0.1523113250732422
0.04577872157096863,0.9098010063171387
0.8810189962387085,0.18655791878700256
0.9015865325927734,0.07930773496627808
